rho,seed,T,modulator_correct_a,modulator_correct_b,modulator_correct_both,M_source0_a,M_source2_a,M_source0_b,M_source2_b,err_g123_a,err_g123_b,err_g145_a,err_g145_b,err_g123,err_g145,gap_g123,gap_g145,r_eff_x3_x5,elapsed_seconds
0.2,42,25000,1,1,1,[1],[3],[1],[3],0.2891401946544647,0.27984800934791565,0.10175450146198273,0.1642145961523056,0.2844941020011902,0.13298454880714417,0.010176264680922031,0.06325634568929672,2.8786543908616538,114.99722719192505
0.2,1042,25000,1,0,0,[1],[3],[],[3],0.3028917908668518,0.7564466595649719,0.14695939421653748,0.04584547132253647,0.5296692252159119,0.09640243276953697,0.45376086235046387,0.10919385403394699,2.9051217545841364,114.81694626808167
0.2,2042,25000,0,1,0,[],[3],[1],[3],0.7539325952529907,0.2698197364807129,0.043895505368709564,0.1656799465417862,0.5118761658668518,0.10478772595524788,0.4844933748245239,0.1328667551279068,2.8691685106303275,114.91687083244324
0.2,3042,25000,1,0,0,[1],[3],[1],"[0, 3]",0.27190539240837097,0.30286094546318054,0.16318731009960175,0.8022854328155518,0.28738316893577576,0.48273637145757675,0.031115204095840454,0.6403740644454956,2.906200842515711,121.58676218986511
0.2,4042,25000,1,1,1,[1],[3],[1],[3],0.2915128767490387,0.285782128572464,0.10453224927186966,0.1581011563539505,0.28864750266075134,0.13131670281291008,0.007981323637068272,0.05447826907038689,2.8707175322602994,115.19927787780762
0.2,5042,25000,1,1,1,[1],[3],[1],[3],0.2518143057823181,0.2869111895561218,0.09524071961641312,0.22772100567817688,0.26936274766921997,0.161480862647295,0.03548058867454529,0.13426178693771362,2.8890521471406694,115.14440298080444
0.2,6042,25000,1,0,0,[1],[3],[],[3],0.3081938624382019,0.7531768083572388,0.1202225610613823,0.05031203106045723,0.5306853353977203,0.08526729606091976,0.4452503025531769,0.0771772637963295,2.896367705638495,115.2033576965332
0.2,7042,25000,1,0,0,[1],[3],[1],"[0, 3]",0.282001793384552,0.31061363220214844,0.23535409569740295,0.6137641668319702,0.2963077127933502,0.4245591312646866,0.028856869786977768,0.3791268467903137,2.8990665168595697,114.65100336074829
0.2,8042,25000,1,1,1,[1],[3],[1],[3],0.2901204824447632,0.3071977496147156,0.186473086476326,0.15128469467163086,0.2986591160297394,0.16887889057397842,0.01822574995458126,0.03597398102283478,2.8981667466117216,114.92824602127075
0.2,9042,25000,1,1,1,[1],[3],[1],[3],0.29709601402282715,0.2889610230922699,0.1578490436077118,0.1477838158607483,0.2930285185575485,0.15281642973423004,0.008895698003470898,0.012484177015721798,2.883223409208343,114.54119849205017
0.4,42,25000,1,1,1,[1],[3],[1],[3],0.31555503606796265,0.27933230996131897,0.13602739572525024,0.16403988003730774,0.2974436730146408,0.150033637881279,0.03645665943622589,0.02891583740711212,2.578766783197155,114.32227063179016
0.4,1042,25000,1,0,0,[1],[3],[],[3],0.3066997230052948,0.75389164686203,0.14824090898036957,0.04484210163354874,0.5302956849336624,0.09654150530695915,0.44750696420669556,0.11139384657144547,2.6319731525357923,114.11925745010376
0.4,2042,25000,0,1,0,[],[3],[1],[3],0.7532883882522583,0.27259647846221924,0.04185444861650467,0.16671432554721832,0.5129424333572388,0.1042843870818615,0.48109379410743713,0.13617457449436188,2.580769107820326,118.21492028236389
0.4,3042,25000,1,1,1,[1],[3],[1],[3],0.27191945910453796,0.3002323508262634,0.16334696114063263,0.8510816097259521,0.2860759049654007,0.5072142854332924,0.028476065024733543,0.6890738606452942,2.6259982269923734,132.30214524269104
0.4,4042,25000,1,0,0,[1],[3],[1],"[0, 3]",0.29754960536956787,0.25892555713653564,0.14751458168029785,0.08510224521160126,0.27823758125305176,0.11630841344594955,0.03920717537403107,0.06443341821432114,2.584917323129759,132.48593616485596
0.4,5042,25000,0,1,0,[1],"[0, 3]",[1],[3],0.25752803683280945,0.2849769592285156,0.08558060973882675,0.22560513019561768,0.27125249803066254,0.1555928699672222,0.027774007990956306,0.14304961264133453,2.612251237719467,131.3742434978485
0.4,6042,25000,1,0,0,[1],[3],[],[3],0.3098388910293579,0.7534546852111816,0.12164127081632614,0.05024779587984085,0.5316467881202698,0.0859445333480835,0.4438762664794922,0.07855650037527084,2.6083329626379843,130.6580753326416
0.4,7042,25000,0,0,0,[1],"[0, 1]",[1],"[0, 3]",0.2608460485935211,0.3101470172405243,0.46475493907928467,0.6172265410423279,0.2854965329170227,0.5409907400608063,0.04950590059161186,0.15357185900211334,2.611540096886979,132.4214973449707
